,time_received,counts,ti
324,1663482949.314406,30,2022-09-18 06:35:49.314405888
312,1663482951.139433,30,2022-09-18 06:35:51.139432960
320,1663482952.854864,30,2022-09-18 06:35:52.854863872
319,1663482954.503485,30,2022-09-18 06:35:54.503484928
318,1663482956.331324,30,2022-09-18 06:35:56.331324160
317,1663482958.039478,30,2022-09-18 06:35:58.039478016
321,1663482960.017086,30,2022-09-18 06:36:00.017085952
315,1663482961.859667,30,2022-09-18 06:36:01.859666944
314,1663482963.475239,30,2022-09-18 06:36:03.475238912
313,1663482965.139466,30,2022-09-18 06:36:05.139465984
291,1663482966.73866,30,2022-09-18 06:36:06.738660096
262,1663482968.598411,30,2022-09-18 06:36:08.598411008
289,1663482970.37475,30,2022-09-18 06:36:10.374749952
269,1663482972.019071,30,2022-09-18 06:36:12.019070976
268,1663482973.57767,30,2022-09-18 06:36:13.577670144
267,1663482975.099204,30,2022-09-18 06:36:15.099204096
266,1663482976.674575,30,2022-09-18 06:36:16.674575104
265,1663482978.258974,30,2022-09-18 06:36:18.258973952
264,1663482980.156204,30,2022-09-18 06:36:20.156204032
290,1663482981.859376,30,2022-09-18 06:36:21.859375872
261,1663482983.41965,30,2022-09-18 06:36:23.419650048
253,1663482984.936006,30,2022-09-18 06:36:24.936006144
260,1663482986.557987,30,2022-09-18 06:36:26.557987072
259,1663482988.219093,30,2022-09-18 06:36:28.219092992
258,1663482989.856311,30,2022-09-18 06:36:29.856311040
257,1663482991.477086,30,2022-09-18 06:36:31.477085952
256,1663482993.156921,30,2022-09-18 06:36:33.156920832
255,1663482994.698116,30,2022-09-18 06:36:34.698116096
254,1663482996.402304,30,2022-09-18 06:36:36.402304000
270,1663482997.974843,30,2022-09-18 06:36:37.974843136
271,1663482999.637222,30,2022-09-18 06:36:39.637222144
272,1663483001.33553,30,2022-09-18 06:36:41.335529984
273,1663483003.013584,30,2022-09-18 06:36:43.013583872
287,1663483004.614996,30,2022-09-18 06:36:44.614995968
286,1663483006.193219,30,2022-09-18 06:36:46.193219072
285,1663483007.838315,30,2022-09-18 06:36:47.838315008
284,1663483009.433621,30,2022-09-18 06:36:49.433620992
281,1663483011.03432,30,2022-09-18 06:36:51.034320128
146,1663483012.697278,30,2022-09-18 06:36:52.697277952
145,1663483014.357186,30,2022-09-18 06:36:54.357186048
138,1663483015.9545,30,2022-09-18 06:36:55.954499840
136,1663483017.618669,30,2022-09-18 06:36:57.618669056
135,1663483019.276096,30,2022-09-18 06:36:59.276096000
